sample_id,cluster_label,batch,color
Cell_9476,1,MCI3_GM,blue
Cell_9477,3,MCI3_GM,purple
Cell_9478,1,MCI3_GM,blue
Cell_9479,1,MCI3_GM,blue
Cell_9480,1,MCI3_GM,blue
Cell_9481,1,MCI3_GM,blue
Cell_9482,3,MCI3_GM,purple
Cell_9483,2,MCI3_GM,cyan
Cell_9484,8,MCI3_GM,green
Cell_9485,2,MCI3_GM,cyan
Cell_9486,1,MCI3_GM,blue
Cell_9487,2,MCI3_GM,cyan
Cell_9488,14,MCI3_GM,black
Cell_9489,2,MCI3_GM,cyan
Cell_9490,1,MCI3_GM,blue
Cell_9491,1,MCI3_GM,blue
Cell_9492,2,MCI3_GM,cyan
Cell_9493,1,MCI3_GM,blue
Cell_9494,1,MCI3_GM,blue
