sample_id,cluster_label,batch,color
Cell_10661,1,AD6_GM,blue
Cell_10662,1,AD6_GM,blue
Cell_10663,2,AD6_GM,cyan
Cell_10664,8,AD6_GM,green
Cell_10665,1,AD6_GM,blue
Cell_10666,1,AD6_GM,blue
Cell_10667,1,AD6_GM,blue
Cell_10668,1,AD6_GM,blue
Cell_10669,2,AD6_GM,cyan
Cell_10670,2,AD6_GM,cyan
Cell_10671,1,AD6_GM,blue
Cell_10672,1,AD6_GM,blue
Cell_10673,1,AD6_GM,blue
Cell_10674,1,AD6_GM,blue
Cell_10675,2,AD6_GM,cyan
Cell_10676,1,AD6_GM,blue
Cell_10677,2,AD6_GM,cyan
Cell_10678,1,AD6_GM,blue
Cell_10679,1,AD6_GM,blue
Cell_10680,3,AD6_GM,purple
Cell_10681,2,AD6_GM,cyan
Cell_10682,1,AD6_GM,blue
Cell_10683,2,AD6_GM,cyan
Cell_10684,1,AD6_GM,blue
Cell_10685,2,AD6_GM,cyan
Cell_10686,1,AD6_GM,blue
Cell_10687,1,AD6_GM,blue
Cell_10688,1,AD6_GM,blue
Cell_10689,1,AD6_GM,blue
Cell_10690,1,AD6_GM,blue
Cell_10691,2,AD6_GM,cyan
Cell_10692,8,AD6_GM,green
Cell_10693,1,AD6_GM,blue
Cell_10694,1,AD6_GM,blue
Cell_10695,1,AD6_GM,blue
Cell_10696,1,AD6_GM,blue
Cell_10697,11,AD6_GM,pink
Cell_10698,1,AD6_GM,blue
Cell_10699,2,AD6_GM,cyan
Cell_10700,2,AD6_GM,cyan
Cell_10701,1,AD6_GM,blue
Cell_10702,1,AD6_GM,blue
Cell_10703,2,AD6_GM,cyan
Cell_10704,8,AD6_GM,green
Cell_10705,1,AD6_GM,blue
Cell_10706,1,AD6_GM,blue
Cell_10707,1,AD6_GM,blue
Cell_10708,2,AD6_GM,cyan
Cell_10709,1,AD6_GM,blue
Cell_10710,1,AD6_GM,blue
Cell_10711,1,AD6_GM,blue
Cell_10712,1,AD6_GM,blue
Cell_10713,8,AD6_GM,green
Cell_10714,2,AD6_GM,cyan
Cell_10715,1,AD6_GM,blue
Cell_10716,1,AD6_GM,blue
Cell_10717,2,AD6_GM,cyan
Cell_10718,2,AD6_GM,cyan
Cell_10719,13,AD6_GM,grey
Cell_10720,1,AD6_GM,blue
Cell_10721,3,AD6_GM,purple
Cell_10722,2,AD6_GM,cyan
Cell_10723,1,AD6_GM,blue
Cell_10724,1,AD6_GM,blue
Cell_10725,1,AD6_GM,blue
Cell_10726,2,AD6_GM,cyan
Cell_10727,1,AD6_GM,blue
Cell_10728,1,AD6_GM,blue
Cell_10729,1,AD6_GM,blue
Cell_10730,1,AD6_GM,blue
Cell_10731,2,AD6_GM,cyan
Cell_10732,1,AD6_GM,blue
Cell_10733,11,AD6_GM,pink
Cell_10734,2,AD6_GM,cyan
Cell_10735,1,AD6_GM,blue
Cell_10736,1,AD6_GM,blue
Cell_10737,1,AD6_GM,blue
Cell_10738,1,AD6_GM,blue
Cell_10739,1,AD6_GM,blue
Cell_10740,1,AD6_GM,blue
Cell_10741,2,AD6_GM,cyan
Cell_10742,2,AD6_GM,cyan
Cell_10743,1,AD6_GM,blue
Cell_10744,1,AD6_GM,blue
Cell_10745,2,AD6_GM,cyan
Cell_10746,1,AD6_GM,blue
Cell_10747,1,AD6_GM,blue
